"","lemma","source","agreement","target"
"1","ace",NA,NA,NA
"2","air",NA,NA,NA
"3","airplane","DR2",95.4545455,"airplane_01_og.jpg"
"4","airport",NA,NA,NA
"5","area",NA,NA,NA
"6","attendant",NA,NA,NA
"7","background",NA,NA,NA
"8","baggage",NA,NA,NA
"9","balloon","boss",87,"balloon01b.jpg"
"10","biplane",NA,NA,NA
"11","blimp","DR2",91.3,"blimp_01_og.jpg"
"12","bottom",NA,NA,NA
"13","building",NA,NA,NA
"14","bus","moreno-martinez",76,"bus.jpg"
"15","card",NA,NA,NA
"16","cart","moreno-martinez",75,"cart.jpg"
"17","coat","moreno-martinez",96,"coat.jpg"
"18","control",NA,NA,NA
"19","couple",NA,NA,NA
"20","elephant","brodeur",95,"africanelephant.jpg"
"21","fire",NA,NA,NA
"22","flag","brodeur",71,"flag.jpg"
"23","flight",NA,NA,NA
"24","ground",NA,NA,NA
"25","guy",NA,NA,NA
"26","helicopter","brodeur",90,"helicopter.jpg"
"27","hose",NA,NA,NA
"28","jet",NA,NA,NA
"29","kind",NA,NA,NA
"30","line",NA,NA,NA
"31","lot",NA,NA,NA
"32","luggage",NA,NA,NA
"33","man",NA,NA,NA
"34","one",NA,NA,NA
"35","people",NA,NA,NA
"36","plane",NA,NA,NA
"37","rocket","DR2",86.3636364,"rocket_01_og.jpg"
"38","scene",NA,NA,NA
"39","sky",NA,NA,NA
"40","smoke",NA,NA,NA
"41","spade",NA,NA,NA
"42","tarmac",NA,NA,NA
"43","thing",NA,NA,NA
"44","top",NA,NA,NA
"45","tower","moreno-martinez",78,"tower.jpg"
"46","truck","DR2",95.4545455,"truck_01_og.jpg"
"47","um",NA,NA,NA
"48","watch","DR2",95.4545455,"watch_01_og.jpg"
"49","water",NA,NA,NA
"50","wing",NA,NA,NA
"51","worker",NA,NA,NA
"52","animal",NA,NA,NA
"53","arena",NA,NA,NA
"54","bunch",NA,NA,NA
"55","chariot",NA,NA,NA
"56","colosseum",NA,NA,NA
"57","fight",NA,NA,NA
"58","game",NA,NA,NA
"59","gladiator",NA,NA,NA
"60","hand","brodeur",81,"?"
"61","horse","brodeur",100,"horse.jpg"
"62","knife","boss",87,"?"
"63","leopard",NA,NA,NA
"64","lion","brodeur",88,"lion.jpg"
"65","lions",NA,NA,NA
"66","person",NA,NA,NA
"67","place",NA,NA,NA
"68","pyramid","moreno-martinez",84,"pyramid.jpg"
"69","rome",NA,NA,NA
"70","shield","moreno-martinez",96,"shield.jpg"
"71","side",NA,NA,NA
"72","stand",NA,NA,NA
"73","sword","moreno-martinez",97,"sword.jpg"
"74","tiger","moreno-martinez",99,"tiger.jpg"
"75","wall",NA,NA,NA
"76","bed","brodeur",81,"bed.jpg"
"77","belt","boss",95,"belt02a.jpg"
"78","bird","DR2",100,"bird_01_og.jpg"
"79","boot","boss",82,"boot02b.jpg"
"80","bow","moreno-martinez",99,"bow.jpg"
"81","bowl","boss",85,"bowl01.jpg"
"82","breakfast",NA,NA,NA
"83","child",NA,NA,NA
"84","clock","boss",92,"clock04.jpg"
"85","cloth",NA,NA,NA
"86","coffee",NA,NA,NA
"87","cup","moreno-martinez",82,"cup.jpg"
"88","dad",NA,NA,NA
"89","daughter",NA,NA,NA
"90","distance",NA,NA,NA
"91","dragon",NA,NA,NA
"92","drawing",NA,NA,NA
"93","ear","moreno-martinez",99,"ear.jpg"
"94","eye","brodeur",76,"eye.jpg"
"95","family",NA,NA,NA
"96","father",NA,NA,NA
"97","girl",NA,NA,NA
"98","goodbye",NA,NA,NA
"99","hat","DR2",100,"hat_01_og.jpg"
"100","head",NA,NA,NA
"101","hold",NA,NA,NA
"102","hook",NA,NA,NA
"103","hug",NA,NA,NA
"104","item",NA,NA,NA
"105","kitchen",NA,NA,NA
"106","left",NA,NA,NA
"107","mom",NA,NA,NA
"108","mother",NA,NA,NA
"109","origami",NA,NA,NA
"110","paper","DR2",72.7,"paper_02_og.jpg"
"111","photo",NA,NA,NA
"112","picture",NA,NA,NA
"113","pot","DR2",100,"pot_01_og.jpg"
"114","scarf","boss",95,"scarf.jpg"
"115","shadow",NA,NA,NA
"116","ship","moreno-martinez",74,"ship.jpg"
"117","shoulder",NA,NA,NA
"118","soup",NA,NA,NA
"119","spoon","boss",92,"spoon01.jpg"
"120","station",NA,NA,NA
"121","steam",NA,NA,NA
"122","street",NA,NA,NA
"123","string",NA,NA,NA
"124","suitcase","DR2",97.0588235,"suitcase_01_og.jpg"
"125","table","brodeur",81,"table01.jpg"
"126","tail",NA,NA,NA
"127","tea",NA,NA,NA
"128","teapot","DR2",93.3,"teapot_01_og.jpg"
"129","train","moreno-martinez",93,"train.jpg"
"130","trunk",NA,NA,NA
"131","wife",NA,NA,NA
"132","woman",NA,NA,NA
"133","arm","moreno-martinez",96,"arm.jpg"
"134","baby",NA,NA,NA
"135","boat","moreno-martinez",86,"boat.jpg"
"136","book","boss",90,"book01b.jpg"
"137","city","DR2",74.1,"city_01_og.jpg"
"138","creature",NA,NA,NA
"139","deck",NA,NA,NA
"140","gate","brodeur",71,"entrancegate.jpg"
"141","harbor",NA,NA,NA
"142","megaphone",NA,NA,NA
"143","page",NA,NA,NA
"144","statue","DR2",93.3,"statue_02_og.jpg"
"145","accordion","brodeur, moreno-martinez",97,"accordion.jpg"
"146","arrow","moreno-martinez",94,"arrow.jpg"
"147","barber",NA,NA,NA
"148","basket","boss",81,"strawbasket01.jpg"
"149","boy",NA,NA,NA
"150","cat","brodeur",88,"cat.jpg"
"151","direction",NA,NA,NA
"152","egg","DR2",100,"egg_01_og.jpg"
"153","front",NA,NA,NA
"154","instrument",NA,NA,NA
"155","language",NA,NA,NA
"156","light",NA,NA,NA
"157","map",NA,NA,NA
"158","music",NA,NA,NA
"159","musician",NA,NA,NA
"160","newspaper",NA,NA,NA
"161","rabbit","brodeur",88,"jackrabbit.jpg"
"162","sign",NA,NA,NA
"163","snail",NA,NA,NA
"164","time",NA,NA,NA
"165","type",NA,NA,NA
"166","violin","boss",97,"violin.jpg"
"167","way",NA,NA,NA
"168","wind",NA,NA,NA
"169","window","brodeur",82,"dormer.jpg"
"170","bag",NA,NA,NA
"171","bench","brodeur",76,"bench01.jpg"
"172","billboard",NA,NA,NA
"173","bite",NA,NA,NA
"174","box","DR2",95.4545455,"box_02_og.jpg"
"175","bread",NA,NA,NA
"176","bridge","brodeur",90,"bridge.jpg"
"177","car","moreno-martinez",93,"car.jpg"
"178","chimney","brodeur",86,"chimney.jpg"
"179","coal",NA,NA,NA
"180","conductor",NA,NA,NA
"181","cone",NA,NA,NA
"182","conversation",NA,NA,NA
"183","door",NA,NA,NA
"184","drawer","DR2",82.1,"drawer_02_og.jpg"
"185","face",NA,NA,NA
"186","fish","brodeur",90,"rockbass.jpg"
"187","food",NA,NA,NA
"188","foot",NA,NA,NA
"189","friend",NA,NA,NA
"190","fruit",NA,NA,NA
"191","furnace",NA,NA,NA
"192","glass",NA,NA,NA
"193","horn",NA,NA,NA
"194","house","moreno-martinez",93,"house.jpg"
"195","ladder","DR2",100,"ladder_02_og.jpg"
"196","lever",NA,NA,NA
"197","loaf",NA,NA,NA
"198","look",NA,NA,NA
"199","machine",NA,NA,NA
"200","money",NA,NA,NA
"201","mouth","moreno-martinez",76,"mouth.jpg"
"202","number",NA,NA,NA
"203","pet",NA,NA,NA
"204","phone",NA,NA,NA
"205","piece",NA,NA,NA
"206","pocket",NA,NA,NA
"207","point",NA,NA,NA
"208","question",NA,NA,NA
"209","shoe","boss",77,"manshoe.jpg"
"210","shovel","moreno-martinez",96,"showel.jpg"
"211","shower","DR2",96.7741935,"shower_01_og.jpg"
"212","shrimp","brodeur",82,"shrimp.jpg"
"213","smokestack",NA,NA,NA
"214","snake","moreno-martinez",92,"snake.jpg"
"215","sort",NA,NA,NA
"216","story",NA,NA,NA
"217","structure",NA,NA,NA
"218","teepee","DR2",100,"teepee_01_og.jpg"
"219","telephone",NA,NA,NA
"220","tentacle",NA,NA,NA
"221","ticket",NA,NA,NA
"222","town",NA,NA,NA
"223","uh",NA,NA,NA
"224","umm",NA,NA,NA
"225","vegetable",NA,NA,NA
"226","vest",NA,NA,NA
